Account,date,daily_pnl,num_trades,avg_trade_size_usd,wins,losses,Classification,win_rate,long_ratio,activity_segment,consistency_segment,size_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,5089.718248587571,0,0,Extreme Greed,0.0,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,7976.664411764705,0,0,Extreme Greed,0.0,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,23734.5,0,0,Extreme Greed,0.0,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,28186.666666666668,0,12,Extreme Greed,0.0,,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,17248.14814814815,12,0,Extreme Greed,1.0,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,16058.536341463414,0,82,Extreme Greed,0.0,,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,48561.68565217392,0,0,Extreme Greed,0.0,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,36736.36242424243,0,33,Greed,0.0,,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,11410.954021505377,23,89,Extreme Greed,0.20535714285714285,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,9400.588039215687,28,0,Extreme Greed,1.0,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,185847.0,9,0,Greed,1.0,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839,23593.019856972587,256,115,Fear,0.6900269541778976,0.5876068376068376,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,531,10576.687156308852,83,28,Greed,0.7477477477477478,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,210,26585.06338095238,78,0,Neutral,1.0,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141,10161.056241134751,132,0,Neutral,1.0,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48,32032.5,16,0,Fear,1.0,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,6,134600.00166666668,0,0,Neutral,0.0,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,59,27178.041694915253,31,0,Neutral,1.0,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,219,13233.776894977169,93,0,Fear,1.0,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,55,24958.908545454546,1,0,Extreme Fear,1.0,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,45,2985.797555555556,36,0,Extreme Fear,1.0,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,641,8371.136099843994,540,0,Fear,1.0,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,5,79640.0,4,0,Neutral,1.0,0.0,Frequent,Inconsistent,Large Size
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,31,21491.640322580646,31,0,Fear,1.0,,Frequent,Inconsistent,Large Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,55,2469.9509090909087,46,0,Extreme Greed,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,1,0.06,0,0,Extreme Greed,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,34,1426.8700000000001,0,0,Greed,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,26,2001.101153846154,25,0,Extreme Greed,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,46,1131.888695652174,0,0,Extreme Greed,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,64,852.88625,63,0,Extreme Greed,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,59,1913.523898305085,15,0,Extreme Greed,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,1,0.11,0,0,Extreme Greed,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,34,10051.199411764705,21,0,Greed,1.0,1.0,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,13,2845.9646153846156,0,0,Greed,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,17,2440.6282352941175,17,0,Extreme Greed,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,39,2154.3915384615384,28,0,Extreme Greed,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,124,2194.294758064516,80,0,Extreme Greed,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,339,1737.369557522124,198,0,Extreme Greed,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,54,2398.331666666667,4,0,Extreme Greed,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,44,1519.465681818182,0,0,Greed,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6899.2458320000005,56,1317.0667857142857,56,0,Greed,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,0.0,46,1602.9452173913044,0,0,Greed,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7372.485101,55,1474.6896363636365,55,0,Greed,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1162.002541,78,2094.719358974359,25,0,Greed,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,517,2792.42166344294,233,13,Greed,0.9471544715447154,1.0,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,124,612.1092741935485,0,124,Neutral,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,355.5854,159,2687.4032704402516,127,0,Neutral,1.0,1.0,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1129.8489260000001,160,1641.2224999999999,52,0,Neutral,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6820.76955,1,82910.81,0,1,Fear,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,0.0,52,1462.824423076923,0,0,Extreme Fear,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,110,1999.099181818182,50,0,Fear,1.0,,Frequent,Inconsistent,Small Size
